Filenames,Minion,SolverTotalTime,SolverSolveTime,SavileRowTotalTime,SolverNodes,SolverSolutionsFound,Rows,Columns,TotalGrids,NumColoured,ProportionColoured,UUID,STEPS
fixed0.param,SACBounds,0.002153,0.000869,0.288,11,6,3,4,12,3,0.25,53925bfb-cc24-41d0-9244-213b12b02efd,0
fixed0.param,SACBounds,0.002078,0.000665,0.26,7,4,3,4,12,4,0.33,53925bfb-cc24-41d0-9244-213b12b02efd,1
fixed0.param,SACBounds,0.001112,8.8e-05,0.258,3,2,3,4,12,5,0.42,53925bfb-cc24-41d0-9244-213b12b02efd,2
fixed1.param,SACBounds,0.000956,7.2e-05,0.266,3,2,3,4,12,3,0.25,53925bfb-cc24-41d0-9244-213b12b02efd,0
fixed1.param,SACBounds,0.000352,1.1e-05,0.245,1,1,3,4,12,4,0.33,53925bfb-cc24-41d0-9244-213b12b02efd,1
fixed0.param,SACBounds,0.000938,4.7e-05,0.247,3,2,3,4,12,3,0.25,78b6546b-e725-4259-8fc0-fed40e6bd562,0
fixed0.param,SACBounds,0.000498,1.8e-05,0.234,1,1,3,4,12,4,0.33,78b6546b-e725-4259-8fc0-fed40e6bd562,1
fixed1.param,SACBounds,0.000414,1.5e-05,0.227,1,1,3,4,12,3,0.25,78b6546b-e725-4259-8fc0-fed40e6bd562,0
fixed0.param,SACBounds,0.000321,1.1e-05,0.222,1,1,3,4,12,3,0.25,4547e798-8115-4bc0-981b-b13828c162bf,0
fixed1.param,SACBounds,0.000336,1.2e-05,0.225,1,1,3,4,12,3,0.25,4547e798-8115-4bc0-981b-b13828c162bf,0
fixed0.param,SACBounds,0.001497,0.000506,0.242,11,6,3,4,12,3,0.25,dab129c0-5322-4ab0-b843-ef893811daa5,0
fixed0.param,SACBounds,0.001101,0.000135,0.283,3,2,3,4,12,4,0.33,dab129c0-5322-4ab0-b843-ef893811daa5,1
fixed0.param,SACBounds,0.001154,9.3e-05,0.274,3,2,3,4,12,5,0.42,dab129c0-5322-4ab0-b843-ef893811daa5,2
fixed0.param,SACBounds,0.000448,1.6e-05,0.282,1,1,3,4,12,6,0.5,dab129c0-5322-4ab0-b843-ef893811daa5,3
fixed1.param,SACBounds,0.000457,1.5e-05,0.244,1,1,3,4,12,3,0.25,dab129c0-5322-4ab0-b843-ef893811daa5,0
fixed0.param,SACBounds,0.000928,4.6e-05,0.247,3,2,3,4,12,3,0.25,42c9b062-de12-4b15-9ab3-c2c85258b2c8,0
fixed0.param,SACBounds,0.00051,1.8e-05,0.234,1,1,3,4,12,4,0.33,42c9b062-de12-4b15-9ab3-c2c85258b2c8,1
fixed1.param,SACBounds,0.000502,1.8e-05,0.24,1,1,3,4,12,3,0.25,42c9b062-de12-4b15-9ab3-c2c85258b2c8,0
fixed0.param,SACBounds,0.000995,7.9e-05,0.238,3,2,3,4,12,3,0.25,b99e52f9-4186-49a4-a7c4-500016753d04,0
fixed0.param,SACBounds,0.000345,1.2e-05,0.234,1,1,3,4,12,4,0.33,b99e52f9-4186-49a4-a7c4-500016753d04,1
fixed1.param,SACBounds,0.000472,1.5e-05,0.248,1,1,3,4,12,3,0.25,b99e52f9-4186-49a4-a7c4-500016753d04,0
