Filenames,Minion,SolverTotalTime,SolverSolveTime,SavileRowTotalTime,SolverNodes,SolverSolutionsFound,Rows,Columns,TotalGrids,NumColoured,ProportionColoured,UUID,STEPS
random0.param,GAC,9.95211,9.82807,2.896,785376,0,24,24,576,285,0.49,9b6462c5-b1c7-40da-a013-afe55b5d4dec,0
random1.param,GAC,0.035608,0.025664,0.848,2956,6,6,18,108,54,0.5,9b6462c5-b1c7-40da-a013-afe55b5d4dec,0
random1.param,GAC,0.001284,2.70E-05,0.732,3,2,6,18,108,55,0.51,9b6462c5-b1c7-40da-a013-afe55b5d4dec,1
random1.param,GAC,0.001458,4.60E-05,0.623,3,2,6,18,108,56,0.52,9b6462c5-b1c7-40da-a013-afe55b5d4dec,2
random1.param,GAC,0.000928,1.60E-05,0.684,1,1,6,18,108,57,0.53,9b6462c5-b1c7-40da-a013-afe55b5d4dec,3
random2.param,GAC,9.92628,9.9007,1.388,1602900,0,18,14,252,134,0.53,9b6462c5-b1c7-40da-a013-afe55b5d4dec,0
random0.param,SAC,9.93427,9.77105,2.955,89,0,24,24,576,285,0.49,6727ff0a-727d-4cbf-b2e5-393031df0f4e,0
random1.param,SAC,0.037444,0.022254,0.977,14,6,6,18,108,54,0.5,6727ff0a-727d-4cbf-b2e5-393031df0f4e,0
random1.param,SAC,0.001632,0.000166,0.966,3,2,6,18,108,55,0.51,6727ff0a-727d-4cbf-b2e5-393031df0f4e,1
random1.param,SAC,0.001585,0.000156,0.863,3,2,6,18,108,56,0.52,6727ff0a-727d-4cbf-b2e5-393031df0f4e,2
random1.param,SAC,0.000993,1.90E-05,0.904,1,1,6,18,108,57,0.53,6727ff0a-727d-4cbf-b2e5-393031df0f4e,3
random2.param,SAC,0.726214,0.681801,1.926,47,4,18,14,252,134,0.53,6727ff0a-727d-4cbf-b2e5-393031df0f4e,0
random2.param,SAC,0.65875,0.615661,1.675,40,3,18,14,252,135,0.54,6727ff0a-727d-4cbf-b2e5-393031df0f4e,1
random2.param,SAC,0.472234,0.427666,1.857,23,2,18,14,252,136,0.54,6727ff0a-727d-4cbf-b2e5-393031df0f4e,2
