Filenames,Minion,SolverTotalTime,SolverSolveTime,SavileRowTotalTime,SolverNodes,SolverSolutionsFound,Rows,Columns,TotalGrids,NumColoured,ProportionColoured,UUID,STEPS
participants0.param,SACBounds,0.000643,1.8e-05,0.544,1,1,5,6,30,18,0.6,d3e86777-3440-4c7d-9c07-1e06e3e3436b,0
participants1.param,SACBounds,0.000589,2e-05,0.413,1,1,5,6,30,18,0.6,d3e86777-3440-4c7d-9c07-1e06e3e3436b,0
participants2.param,SACBounds,0.000581,1.6e-05,0.439,1,1,5,6,30,18,0.6,d3e86777-3440-4c7d-9c07-1e06e3e3436b,0
participants3.param,SACBounds,0.000525,1.2e-05,0.464,1,1,5,6,30,18,0.6,d3e86777-3440-4c7d-9c07-1e06e3e3436b,0
participants0.param,SACBounds,0.000346,1.1e-05,0.209,1,1,3,4,12,1,0.08,8d16cda2-578f-496c-9c09-e5ed25f97887,0
participants1.param,SACBounds,0.000385,1.2e-05,0.203,1,1,3,4,12,1,0.08,8d16cda2-578f-496c-9c09-e5ed25f97887,0
participants2.param,SACBounds,0.000312,1e-05,0.207,1,1,3,4,12,1,0.08,8d16cda2-578f-496c-9c09-e5ed25f97887,0
participants3.param,SACBounds,0.000524,1.9e-05,0.208,1,1,3,4,12,1,0.08,8d16cda2-578f-496c-9c09-e5ed25f97887,0
participants4.param,SACBounds,0.000473,1.6e-05,0.223,1,1,3,4,12,1,0.08,8d16cda2-578f-496c-9c09-e5ed25f97887,0
participants5.param,SACBounds,0.000489,1.7e-05,0.245,1,1,3,4,12,1,0.08,8d16cda2-578f-496c-9c09-e5ed25f97887,0
participants0.param,SACBounds,0.000564,1.8e-05,0.354,1,1,3,4,12,6,0.5,aa6e508f-1e2d-4ca0-ab56-515fb9efab2c,0
participants1.param,SACBounds,0.000513,1.8e-05,0.284,1,1,3,4,12,6,0.5,aa6e508f-1e2d-4ca0-ab56-515fb9efab2c,0
participants2.param,SACBounds,0.000335,1e-05,0.237,1,1,3,4,12,6,0.5,aa6e508f-1e2d-4ca0-ab56-515fb9efab2c,0
participants3.param,SACBounds,0.000494,1.8e-05,0.253,1,1,3,4,12,6,0.5,aa6e508f-1e2d-4ca0-ab56-515fb9efab2c,0
participants0.param,SACBounds,0.000347,1e-05,0.231,1,1,3,5,15,0,0.0,eef51c38-6edd-45c0-878f-0eec84a60535,0
participants1.param,SACBounds,0.00049,1.4e-05,0.227,1,1,3,5,15,0,0.0,eef51c38-6edd-45c0-878f-0eec84a60535,0
participants2.param,SACBounds,0.000496,2e-05,0.243,1,1,3,5,15,0,0.0,eef51c38-6edd-45c0-878f-0eec84a60535,0
participants3.param,SACBounds,0.000533,1.4e-05,0.257,1,1,3,5,15,0,0.0,eef51c38-6edd-45c0-878f-0eec84a60535,0
participants0.param,SACBounds,0.000591,1.8e-05,0.332,1,1,4,7,28,1,0.04,c05d6654-bd62-460d-832f-d323d053567d,0
participants1.param,SACBounds,0.000593,1.9e-05,0.289,1,1,4,7,28,1,0.04,c05d6654-bd62-460d-832f-d323d053567d,0
participants0.param,SACBounds,0.000295,1e-05,0.173,1,1,2,3,6,0,0.0,7f34bce9-95a5-4b41-aa1c-b8f467a370b6,0
participants0.param,SACBounds,0.000845,8.7e-05,0.216,3,2,3,3,9,4,0.44,ade294fc-bba6-4d63-ac51-374a44406cb2,0
participants0.param,SACBounds,0.001445,0.000188,0.589,3,2,7,7,49,25,0.51,e9ac134c-175c-4098-9a84-80f2d1657bdb,0
participants1.param,SACBounds,0.00077,2.6e-05,0.497,1,1,7,7,49,25,0.51,e9ac134c-175c-4098-9a84-80f2d1657bdb,0
participants2.param,SACBounds,0.002478,0.000718,0.519,7,4,7,7,49,25,0.51,e9ac134c-175c-4098-9a84-80f2d1657bdb,0
participants3.param,SACBounds,0.000767,2e-05,0.485,1,1,7,7,49,25,0.51,e9ac134c-175c-4098-9a84-80f2d1657bdb,0
participants4.param,SACBounds,0.000764,2.5e-05,0.57,1,1,7,7,49,25,0.51,e9ac134c-175c-4098-9a84-80f2d1657bdb,0
participants5.param,SACBounds,0.001572,0.000169,0.504,3,2,7,7,49,25,0.51,e9ac134c-175c-4098-9a84-80f2d1657bdb,0
participants6.param,SACBounds,0.001359,0.000163,0.482,3,2,7,7,49,25,0.51,e9ac134c-175c-4098-9a84-80f2d1657bdb,0
participants7.param,SACBounds,0.000724,2e-05,0.498,1,1,7,7,49,25,0.51,e9ac134c-175c-4098-9a84-80f2d1657bdb,0
participants8.param,SACBounds,0.000732,1.8e-05,0.446,1,1,7,7,49,25,0.51,e9ac134c-175c-4098-9a84-80f2d1657bdb,0
participants9.param,SACBounds,0.000471,1.1e-05,0.491,1,1,7,7,49,25,0.51,e9ac134c-175c-4098-9a84-80f2d1657bdb,0
participants10.param,SACBounds,0.000826,2.5e-05,0.48,1,1,7,7,49,25,0.51,e9ac134c-175c-4098-9a84-80f2d1657bdb,0
participants11.param,SACBounds,0.000752,2.1e-05,0.51,1,1,7,7,49,25,0.51,e9ac134c-175c-4098-9a84-80f2d1657bdb,0
participants12.param,SACBounds,0.001768,0.000173,0.54,3,2,7,7,49,25,0.51,e9ac134c-175c-4098-9a84-80f2d1657bdb,0
participants13.param,SACBounds,0.000737,2e-05,0.503,1,1,7,7,49,25,0.51,e9ac134c-175c-4098-9a84-80f2d1657bdb,0
participants14.param,SACBounds,0.000504,1.3e-05,0.562,1,1,7,7,49,25,0.51,e9ac134c-175c-4098-9a84-80f2d1657bdb,0
